PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCO2 at 1 bar (mol/kg)
28.79472,28.86274,936.651,0.71451,0.1820605952
14.17588,16.11614,7239.43018,0.89917,0.5103751227
14.1657,16.1092,6601.52979,0.89554,0.7473773537
16.38605,16.51747,1842.12,0.67382,0.3633449557
14.61452,15.22205,2336.6001,0.72,0.2740307394
25.51861,25.62212,1972.40002,0.74221,0.2681785309
24.38007,24.50352,1920.18005,0.73422,0.304935531
23.23815,23.3108,1885.54004,0.73129,0.2801088138
23.96858,24.14078,1841.44995,0.72704,0.2336294528
20.81746,20.94701,1448.55005,0.68025,0.2057467537
19.26829,19.35467,1469.69995,0.6743,0.1774446276
4.91947,5.5683,631.85797,0.46478,1.0620475381
39.68396,39.9305,2637.72998,0.79808,0.2846013735
18.34669,18.5864,1362.32996,0.64221,0.5034553592
17.39813,17.54485,1510.25,0.6812,0.4536586568
43.78149,43.89693,1841.88,0.82443,0.3662271428
10.03478,10.55424,1336.09998,0.58091,0.63804525
10.03478,10.55424,1489.54004,0.58536,0.7658393412
10.03478,10.55424,1594.46997,0.59539,1.1393837663
27.14794,27.41477,2555.88989,0.80083,0.347277116
31.82555,31.90137,2335.69995,0.76263,0.9986669367
32.86681,33.03455,2720.17993,0.78805,0.6358435516
16.93789,17.22858,1127.60999,0.64756,0.176954195
19.33353,19.49908,2090.81006,0.71981,0.3101256673
24.69607,24.82011,2025.39001,0.77125,0.3571542742
11.7271,12.13815,1159.67004,0.5796,0.1120840851
11.85435,12.27828,1228.58997,0.58361,0.1732914521
19.22142,20.2581,4417.16016,0.83159,0.4017386585
9.11507,9.87639,1733.82996,0.62708,0.3694972089
7.25619,7.88214,1194.67004,0.53058,0.6306795889
11.06228,11.3751,1692.01001,0.61999,0.4133356658
10.72674,11.02482,1514.69995,0.58655,0.3476883257
14.44897,15.66519,4133.66016,0.80334,3.2027136483
41.05191,41.18296,2277.42993,0.83019,0.3797440143
9.37565,10.89243,4926.83984,0.79181,3.3564220929
14.43667,14.78901,2002.96997,0.67089,0.2724709716
16.83791,17.15189,2429.28003,0.7208,0.2749936335
5.94566,7.11918,2071.25,0.61417,0.3989600097
19.77265,22.16294,7074.95996,0.90228,0.5839755323
9.18961,9.80273,1760.02002,0.61887,0.2169648404
20.79435,21.19984,3865.05005,0.83165,1.8119394522
16.15375,16.51787,1693.45996,0.66858,0.4600754242
18.14826,18.49638,1738.56006,0.68262,0.2841695778
7.26129,8.03185,1407.06006,0.58642,0.85200738
6.48972,7.45349,712.04901,0.48016,0.1212000607
15.35492,15.8509,1737.81006,0.65846,0.1495538337
35.71819,35.86719,2370,0.80469,0.1456722325
25.41555,25.64462,2274.38989,0.78509,0.2242553765
32.79335,33.01595,2573.55005,0.83225,0.1994316956
9.54557,9.6007,829.42902,0.45714,0.1301842897
13.11194,13.17228,1038.40002,0.51924,0.1801991001
10.59437,12.48237,8330.88965,0.8853,0.4664011247
9.58505,10.43754,8104.58984,0.8307,0.571772984
24.61711,29.01327,8661.80957,0.94786,0.5231793629
10.07551,12.01945,8231.87988,0.87866,0.4965329861
9.7459,10.65169,8189.8501,0.82298,0.6180373857
24.10888,28.27167,8765.76953,0.94317,0.5276456313
8.66316,9.75189,7570.58984,0.80797,0.6448473422
23.74486,28.52567,8234.7998,0.94201,0.568301461
26.74378,26.95282,2042.22998,0.76682,0.2763915037
13.27242,13.43696,3224.87012,0.73991,3.0084231826
21.96829,23.32506,3348.3501,0.82912,2.116880289
21.6188,27.24002,7688.12988,0.93364,0.4583568735
46.90899,47.73559,7433.39014,0.94423,0.6070881158
7.14942,8.65264,2895.08008,0.68835,1.5060455877
13.62197,13.99378,1585.51001,0.64561,0.5248733099
27.87325,28.05828,1860.05005,0.76518,0.2427218967
16.60556,16.94837,1579.09998,0.67289,0.9721200753
8.10818,8.32513,1686.30005,0.61247,0.2519334645
25.93049,26.13967,2182.75,0.77892,0.2270172996
20.59917,20.89927,2428.56006,0.7619,0.254801988
21.78847,22.30685,2786.88989,0.80365,0.247434336
13.19498,13.6119,2485.48999,0.70778,0.7943012588
20.05155,20.15142,1730.32996,0.71855,0.4384353013
24.96336,25.19238,1824.45996,0.74542,0.441336089
24.69892,24.93763,1883.63,0.74988,0.4764889926
19.84165,19.9592,1674.27002,0.71287,0.4559611582
21.69712,21.95262,1768.96997,0.73991,0.442797697
22.47817,22.6997,1808.26001,0.74656,0.4828288975
25.0438,25.10023,1660.41003,0.73194,0.4431001435
22.67623,22.92293,1691,0.72086,0.4766467667
23.46285,23.75776,1515.57996,0.66567,0.1425362551
13.70432,14.13053,1457.34998,0.58288,0.2377818062
4.38831,6.8769,1445.37,0.57629,1.825232604
22.224,22.39215,2042.81995,0.72637,0.2918974722
21.36833,21.48304,1979.19995,0.72099,0.2509157297
23.17624,23.40945,2214.70996,0.74871,0.2687169857
22.22172,22.36485,2120.12988,0.73931,0.2254546889
10.72475,11.19018,1657.84998,0.62206,0.4134307605
21.25089,21.50177,2008.43994,0.73586,0.2064044298
8.6641,9.32195,3931.17993,0.75135,2.9242889603
4.11429,5.34025,958.10199,0.51103,3.8089322197
4.18905,5.26587,1124.96997,0.54305,3.9724641396
5.43904,6.14398,940.74701,0.49674,2.3210184613
5.5655,6.68673,4240.5,0.71314,2.4746509997
15.82205,16.15913,1673.93005,0.66965,0.4159486406
18.38514,18.68522,1915.88,0.69747,0.2190967197
24.58813,24.8265,2116.58008,0.77067,0.2883674994
13.06993,13.36641,2048.83008,0.71219,2.3904254095
30.47904,30.66931,2327.32007,0.79697,0.2082185834
31.27516,31.45428,2336.56006,0.79326,0.2079166727
7.29195,7.84595,1135.95996,0.53672,1.2815167323
17.58343,18.27716,1773.67004,0.66572,0.1654291328
22.5277,22.77277,1915.95996,0.75436,0.2789717679
22.43977,22.68169,1881.15002,0.7546,0.2417165496
12.42896,12.69956,2449.11011,0.74688,1.1301002739
17.48603,18.54642,4399.62988,0.82525,2.9297618218
17.47742,18.54395,4369.33984,0.8274,2.826710629
18.13247,18.45428,1721.52002,0.69899,0.5279458876
9.98996,10.38774,1940.79004,0.64973,0.426990604
8.64917,8.96817,1737.18994,0.60444,0.5188605688
9.37472,9.86201,1816.55005,0.63382,0.3525383974
30.98799,31.81812,14885.2002,0.97976,0.4851257222
33.82956,34.43726,7853.47021,0.90719,0.6441393362
11.8173,12.27783,1800.68994,0.63545,0.2680425082
25.18439,25.57281,2023.07996,0.73861,0.2204779182
23.27554,23.57254,1502.47998,0.669,0.136854949
23.16359,23.45655,1734.84998,0.7009,0.1646260074
23.35047,23.64665,1512.73999,0.66246,0.1295199357
23.33054,23.62181,1681.93005,0.69404,0.1929748375
23.1796,23.46923,1471.43005,0.66008,0.1251968987
41.06296,41.12154,3056.12988,0.8526,0.2445190349
16.54655,16.84207,1391.05005,0.63897,0.3429779905
13.41753,13.74617,1872.09998,0.67757,0.3247078191
21.38827,21.50274,2279.72998,0.75175,0.3071910423
27.70128,27.83857,2364.04004,0.78612,0.3082629415
17.50373,17.88578,1941.65002,0.72331,0.3765218507
22.06437,22.30064,1700.55005,0.71373,0.4872581177
21.04661,23.73233,5283.08008,0.85428,2.4366902402
23.17624,23.40945,2195.92993,0.74871,0.2674001795
10.72475,11.19018,1651.53003,0.62165,0.4037191586
17.4324,17.68848,1446.43005,0.70397,2.1622932901
18.96217,19.42127,2941.83008,0.75835,2.3636204672
20.63214,20.85688,2091,0.7371,2.1740953483
23.24997,23.52769,2544.03003,0.77318,3.1829482469
31.96671,32.11311,3197.12988,0.80917,0.9108809064
13.4128,17.50771,5107.4502,0.87765,0.4521920725
8.17402,11.20454,4119.8999,0.76148,1.6296500098
29.13681,29.3046,1693.31006,0.75974,0.2539359779
21.00102,21.6781,2653.1499,0.78306,0.894202649
7.64839,9.02068,3724.90991,0.71715,1.7668948531
12.62514,13.13528,1791.75,0.6224,1.0431893143
6.32576,7.33745,2401.1499,0.63589,3.1906813619
16.51179,16.92871,2255.54004,0.6617,0.3908636034
26.88207,27.08872,1641.29004,0.73506,0.3617838509
25.81935,26.00686,1565.29004,0.72041,0.3597064172
13.33488,13.7075,1332.06006,0.56729,0.1705453214
