PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCH4 at 10 bar (mol/kg)
21.78847,22.30685,2786.88989,0.80365,1.5402054146
13.19498,13.6119,2485.48999,0.70778,2.6345346069
20.05155,20.15142,1730.32996,0.71855,1.7419516507
24.96336,25.19238,1824.45996,0.74542,1.683026073
24.69892,24.93763,1883.63,0.74988,1.6393094156
19.84165,19.9592,1674.27002,0.71287,1.7273007841
21.69712,21.95262,1768.96997,0.73991,1.6990319102
22.47817,22.6997,1808.26001,0.74656,1.6621681768
25.0438,25.10023,1660.41003,0.73194,1.6528103751
22.67623,22.92293,1691,0.72086,1.723459585
23.46285,23.75776,1515.57996,0.66567,0.8595937981
13.70432,14.13053,1457.34998,0.58288,0.9775865941
4.38831,6.8769,1445.37,0.57629,1.6207525554
22.224,22.39215,2042.81995,0.72637,1.809087681
21.36833,21.48304,1979.19995,0.72099,1.639489543
23.17624,23.40945,2214.70996,0.74871,1.8664545532
22.22172,22.36485,2120.12988,0.73931,1.578148678
10.72475,11.19018,1657.84998,0.62206,2.0691717979
21.25089,21.50177,2008.43994,0.73586,1.4661330625
8.6641,9.32195,3931.17993,0.75135,2.7748186319
4.11429,5.34025,958.10199,0.51103,0.8337631907
4.18905,5.26587,1124.96997,0.54305,1.021528357
5.43904,6.14398,940.74701,0.49674,1.5058857157
5.5655,6.68673,4240.5,0.71314,2.7153790615
15.82205,16.15913,1673.93005,0.66965,1.4929099323
18.38514,18.68522,1915.88,0.69747,1.5006495567
24.58813,24.8265,2116.58008,0.77067,1.6168059347
13.06993,13.36641,2048.83008,0.71219,1.2133501487
30.47904,30.66931,2327.32007,0.79697,1.5427265564
31.27516,31.45428,2336.56006,0.79326,1.5529514672
7.29195,7.84595,1135.95996,0.53672,1.2830568991
17.58343,18.27716,1773.67004,0.66572,0.8970139508
22.5277,22.77277,1915.95996,0.75436,1.4259287735
22.43977,22.68169,1881.15002,0.7546,1.327667603
12.42896,12.69956,2449.11011,0.74688,1.491348866
17.48603,18.54642,4399.62988,0.82525,2.7423684831
17.47742,18.54395,4369.33984,0.8274,2.7553539085
18.13247,18.45428,1721.52002,0.69899,1.8066993642
9.98996,10.38774,1940.79004,0.64973,2.1281782751
8.64917,8.96817,1737.18994,0.60444,1.8551567754
9.37472,9.86201,1816.55005,0.63382,1.8733837653
30.98799,31.81812,14885.2002,0.97976,1.9411629799
33.82956,34.43726,7853.47021,0.90719,3.2964163567
11.8173,12.27783,1800.68994,0.63545,1.8668213932
25.18439,25.57281,2023.07996,0.73861,1.3062023033
23.27554,23.57254,1502.47998,0.669,0.8552758414
23.16359,23.45655,1734.84998,0.7009,1.0838689432
